id,student,school,program,entry_datetime,calendar,total_unexabs,total_exabs,total_tardies,avg_daily_attendance,term_final_value
1,1,1,1,2018-09-01 4:05:06,3,4,1,4,0.83,FALSE
2,2,1,1,2018-09-01 4:05:06,3,5,0,0,0.83,FALSE
3,3,2,1,2018-09-01 4:05:06,3,5,0,3,0.83,FALSE
4,4,2,1,2018-09-01 4:05:06,3,5,0,2,0.83,FALSE
5,5,1,2,2018-09-01 4:05:06,3,4,1,4,0.83,FALSE
6,6,1,2,2018-09-01 4:05:06,3,2,4,4,0.80,FALSE
7,7,2,2,2018-09-01 4:05:06,3,0,1,1,0.97,FALSE
8,8,2,2,2018-09-01 4:05:06,3,0,4,1,0.87,FALSE
9,1,1,1,2018-10-01 4:05:06,3,7,5,9,0.80,FALSE
10,2,1,1,2018-10-01 4:05:06,3,7,6,3,0.78,FALSE
11,3,2,1,2018-10-01 4:05:06,3,5,2,5,0.88,FALSE
12,4,2,1,2018-10-01 4:05:06,3,8,10,8,0.70,FALSE
13,5,1,2,2018-10-01 4:05:06,3,8,3,4,0.82,FALSE
14,6,1,2,2018-10-01 4:05:06,3,3,6,4,0.85,FALSE
15,7,2,2,2018-10-01 4:05:06,3,3,4,4,0.88,FALSE
16,8,2,2,2018-10-01 4:05:06,3,3,6,5,0.85,FALSE
17,1,1,1,2018-11-01 4:05:06,3,15,7,15,0.76,FALSE
18,2,1,1,2018-11-01 4:05:06,3,14,6,14,0.78,FALSE
19,3,2,1,2018-11-01 4:05:06,3,7,9,5,0.82,FALSE
20,4,2,1,2018-11-01 4:05:06,3,11,14,9,0.72,FALSE
21,5,1,2,2018-11-01 4:05:06,3,11,14,8,0.72,FALSE
22,6,1,2,2018-11-01 4:05:06,3,3,6,12,0.90,FALSE
23,7,2,2,2018-11-01 4:05:06,3,8,12,7,0.78,FALSE
24,8,2,2,2018-11-01 4:05:06,3,14,15,15,0.68,FALSE
