id,student,school,calendar,program,course,period,incident_datetime,context,incident_type_program,incident_result_program,incident_type_school,incident_result_school
1,7,2,3,2,7,1,2018-10-11 4:05:06,tried to beat up classmate who won game.,fighting,in school suspension,violent/dangerous behavior,in school suspension
2,6,2,2,2,7,1,2018-04-12 4:05:06,used a racial slur.,improper language,office referral,illicit language,detention
3,5,1,3,2,1,1,2018-09-01 4:05:06,running with scissors,dangerous behavior,office referral,violent/dangerous behavior,detention
4,1,1,2,1,1,1,2018-03-19 4:05:06,ate lunch during math class.,disobeying class rules,office referral,disobeying rules,detention
5,6,1,3,2,1,1,2018-11-30 4:05:06,wrestled with John.,fighting,in school suspension,violent/dangerous behavior,in school suspension
6,5,2,2,2,7,1,2018-03-03 4:05:06,chewing gum in class,disobeying class rules,office referral,disobeying rules,detention
7,8,2,3,2,7,1,2018-12-10 4:05:06,caught cheating,disobeying class rules,in school suspension,disobeying rules,in school suspension
8,1,1,2,1,1,1,2018-01-13 4:05:06,punched classmate,fighting,out of school suspension,violent/dangerous behavior,out of school suspension
9,6,1,3,2,1,1,2018-09-20 4:05:06,scream curse words on playground,improper language,office referral,illicit language,detention
10,5,2,2,2,7,1,2018-05-05 4:05:06,told teacher to shut up,disrespecting authority figure,office referral,disrespectful behavior,detention
11,8,2,3,2,7,1,2018-12-25 4:05:06,smoking cigarrettes,substance abuse,office referral,tobacco violation,detention
12,2,1,2,1,1,1,2018-05-01 4:05:06,jumped from rooftop,dangerous behavior,expulsion,violent/dangerous behavior,expulsion
