id,student,course,calendar,program,period,entry_datetime,grade,term_final_value
1,1,1,3,1,1,2018-10-01 4:05:06,0.53,FALSE
2,1,2,3,1,2,2018-10-01 4:05:06,0.71,FALSE
3,1,3,3,1,3,2018-10-01 4:05:06,0.90,FALSE
4,1,4,3,1,4,2018-10-01 4:05:06,0.68,FALSE
5,1,5,3,1,5,2018-10-01 4:05:06,0.63,FALSE
6,1,6,3,1,6,2018-10-01 4:05:06,0.61,FALSE
7,2,1,3,1,1,2018-10-01 4:05:06,0.53,FALSE
8,2,2,3,1,2,2018-10-01 4:05:06,0.70,FALSE
9,2,3,3,1,3,2018-10-01 4:05:06,0.95,FALSE
10,2,4,3,1,4,2018-10-01 4:05:06,0.98,FALSE
11,2,5,3,1,5,2018-10-01 4:05:06,0.65,FALSE
12,2,6,3,1,6,2018-10-01 4:05:06,0.73,FALSE
13,3,7,3,1,1,2018-10-01 4:05:06,0.95,FALSE
14,3,8,3,1,2,2018-10-01 4:05:06,0.99,FALSE
15,3,9,3,1,3,2018-10-01 4:05:06,0.51,FALSE
16,3,10,3,1,4,2018-10-01 4:05:06,0.50,FALSE
17,3,11,3,1,5,2018-10-01 4:05:06,0.82,FALSE
18,3,12,3,1,6,2018-10-01 4:05:06,0.83,FALSE
19,4,7,3,1,1,2018-10-01 4:05:06,0.71,FALSE
20,4,8,3,1,2,2018-10-01 4:05:06,0.85,FALSE
21,4,9,3,1,3,2018-10-01 4:05:06,0.56,FALSE
22,4,10,3,1,4,2018-10-01 4:05:06,0.89,FALSE
23,4,11,3,1,5,2018-10-01 4:05:06,0.52,FALSE
24,4,12,3,1,6,2018-10-01 4:05:06,0.90,FALSE
25,5,1,3,2,1,2018-10-01 4:05:06,0.86,FALSE
26,5,2,3,2,2,2018-10-01 4:05:06,0.83,FALSE
27,5,3,3,2,3,2018-10-01 4:05:06,0.71,FALSE
28,5,4,3,2,4,2018-10-01 4:05:06,0.57,FALSE
29,5,5,3,2,5,2018-10-01 4:05:06,0.61,FALSE
30,5,6,3,2,6,2018-10-01 4:05:06,0.92,FALSE
31,6,1,3,2,1,2018-10-01 4:05:06,0.93,FALSE
32,6,2,3,2,2,2018-10-01 4:05:06,1.00,FALSE
33,6,3,3,2,3,2018-10-01 4:05:06,0.86,FALSE
34,6,4,3,2,4,2018-10-01 4:05:06,0.96,FALSE
